,Title,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews
26,God of War Ragnarok,"Nov 09, 2022","['SIE Santa Monica Studio', 'Sony Interactive Entertainment']","God of War: Ragnarök is the ninth installment in the God of War series and the sequel to 2018's God of War. Continuing with the Norse mythology theme, the game is set in ancient Norway and feature series protagonists Kratos, the former Greek God of War, and his young son Atreus. The game is expected to kick off the events of Ragnarök, where Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world.","['PlayStation 4', 'PlayStation 5']","['Adventure', 'Brawler']",4.4,7.1K,857,2.8K,3.9K,2K,1.2K
27,Pokemon Legends: Arceus,"Jan 28, 2022","['Nintendo', 'Game Freak']","The Pokémon Legends: Arceus game honors past Pokémon games’ core gameplay while infusing new action and RPG elements.
You’ll need to catch, survey, and research wild Pokémon in a long-gone era of the Sinnoh region to create and complete the region’s first Pokédex.",['Nintendo Switch'],"['Adventure', 'RPG', 'Turn Based Strategy']",3.7,11K,1.6K,3K,2.3K,1.8K,1.2K
28,Marvel's Spider-Man,"Sep 07, 2018","['Sony Interactive Entertainment', 'Insomniac Games']","Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",['PlayStation 4'],"['Adventure', 'Brawler']",4.1,25K,692,3.4K,2.4K,2.9K,1.7K
29,Disco Elysium: The Final Cut,"Mar 30, 2021",['ZA/UM'],"Disco Elysium: The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. The Final Cut adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas.","['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Google Stadia', 'Xbox Series']","['Adventure', 'Indie', 'RPG']",4.6,7.3K,1.3K,6K,3.1K,1.3K,874
30,Dark Souls III,"Mar 24, 2016","['Bandai Namco Entertainment', 'FromSoftware']","Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and embrace the darkness!","['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'RPG']",4.2,22K,959,5K,2.5K,2.8K,1.4K
31,Xenoblade Chronicles 3,"Jul 29, 2022","['Nintendo', 'Monolith Soft']","A vast world awaits in Xenoblade Chronicles 3, the next game in the acclaimed RPG series from developer Monolithsoft. Players will step into the roles of protagonists Noah and Mio amid turmoil between the hostile nations of Keves and Agnus. Six characters hailing from those nations will take part in a grand tale with “life” as its central theme. Explore a new world that will connect the futures of both Xenoblade Chronicles and Xenoblade Chronicles 2.",['Nintendo Switch'],"['Adventure', 'RPG']",4.4,4.7K,821,2.7K,2.5K,1.7K,815
32,Super Mario 64,"Jun 23, 1996","['Nintendo EAD', 'Nintendo']","The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials.","['Wii U', 'Wii', 'Nintendo 64']","['Adventure', 'Platform']",4.1,24K,522,2.9K,881,2.9K,1.4K
33,Cuphead,"Sep 29, 2017",['Studio MDHR'],"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. Play as Cuphead or Mugman (in single player or co-op) as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. Cuphead is all action, all the time.","['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Arcade', 'Indie', 'Platform', 'Shooter']",4.1,21K,1.3K,5.3K,2.9K,2.1K,1.4K
34,Kirby and the Forgotten Land,"Mar 25, 2022","['Nintendo', 'HAL Laboratory']","Join Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure. Take control of the powerful pink puffball, Kirby, and move around freely in 3D stages as you discover a mysterious world with abandoned structures from a past civilization - like a shopping mall?! Copy enemies’ abilities like Sword and Ice and use them to attack and explore your surroundings! What journey awaits Kirby? Take a deep breath and get ready for an unforgettable adventure!",['Nintendo Switch'],"['Adventure', 'Platform']",4.1,7K,1K,2.9K,3.5K,1.8K,1K
35,Super Smash Bros. Ultimate,"Dec 07, 2018","['Bandai Namco Studios', 'Nintendo']","Legendary game worlds and fighters collide in the ultimate showdown—a new entry in the Super Smash Bros. series for the Nintendo Switch system! New fighters, like Inkling from the Splatoon series and Ridley from the Metroid series, make their Super Smash Bros. series debut alongside every Super Smash Bros. fighter in the series…EVER! Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.",['Nintendo Switch'],"['Fighting', 'Platform']",4.1,29K,1.3K,1.3K,907,2.8K,1.8K
36,Sekiro: Shadows Die Twice,"Mar 22, 2019","['FromSoftware', 'Activision']","Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.
Take Revenge. Restore Your Honor. Kill Ingeniously.","['Windows PC', 'PlayStation 4', 'Xbox One', 'Google Stadia']","['Adventure', 'Brawler']",4.4,16K,1.1K,5.6K,3.9K,2.6K,1.2K
37,NieR Replicant,"Apr 22, 2021","['Toylogic', 'Square Enix']","NieR Replicant ver.1.22474487139... is an updated version of NieR Replicant, previously only released in Japan. Discover the one-of-a-kind prequel to the critically-acclaimed masterpiece NieR: Automata. Now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more!","['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'RPG']",4.2,7.6K,974,4.9K,4.1K,1.7K,784
38,Resident Evil 2,"Jan 25, 2019","['Capcom', 'Capcom Development Division 1']","Resident Evil 2 is a remake of 1998's Resident Evil 2. The game was not developed with the intent of improving the original, but rather a reimagining of the original story with redesigned maps, characters and story elements. Gameplay mechanics are more similar to Resident Evil 7: Biohazard though with the use of an over-the-shoulder camera.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'Shooter']",4.3,19K,737,4.3K,2.2K,3.1K,1.3K
39,Final Fantasy VII,"Jan 31, 1997","['Square Enix', 'Square']","Final Fantasy VII is the seventh main installment in the Final Fantasy series, and was the first title to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.
The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party member's abilities to their liking, and the Limit system grants them unique combat skills.
Though minigames had been a recurring feature, FFVII introduces numerous new ones, many of them playable in the theme park Gold Saucer varying from racing with Chocobos to snowboarding.","['Android', 'PlayStation 3', 'PlayStation', 'PlayStation Vita', 'PlayStation Portable']","['Adventure', 'RPG', 'Turn Based Strategy']",4.2,16K,1.1K,5.7K,1.7K,3.3K,926
40,Signalis,"Oct 27, 2022","['rose-engine', 'Humble Games']","Signalis is a classic survival horror experience with a unique aesthetic, full of melancholic mystery. Investigate a dark secret, solve puzzles, fight off nightmarish creatures and navigate dystopian, surreal retrotech worlds as Elster, a technician Replika searching for her lost dreams.","['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Indie']",4.2,2.9K,477,2.6K,2.5K,1K,578
41,Genshin Impact,"Sep 28, 2020","['miHoYo', 'HoYoverse']","Genshin Impact is an open-world action RPG, where you embark on a journey across Teyvat to find your lost sibling and seek answers from The Seven, the gods of each element. Explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that Teyvat holds...","['Windows PC', 'Android', 'PlayStation 4', 'iOS', 'PlayStation 5']","['Adventure', 'RPG']",2.6,16K,2.9K,1.4K,305,740,1.6K
42,Persona 4 Golden,"Jun 15, 2012","['NIS America', 'Atlus']","An enhanced rerelease of Shin Megami Tensei: Persona 4 (2008) featuring quality-of-life improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame.",['PlayStation Vita'],"['Adventure', 'RPG', 'Visual Novel']",4.2,14K,1.5K,5.8K,2.4K,2.1K,1.2K
43,Resident Evil Village,"May 06, 2021",['Capcom'],"Resident Evil Village is a first person survival horror and the sequel to Resident Evil 7: Biohazard. The game maintains elements from previous Resident Evil games with players having to scavenge environments for items and manage their resources. However, it adds more action-oriented gameplay, with higher enemy counts and a greater emphasis on combat.","['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Google Stadia', 'Xbox Series', 'Playstation VR2']","['Adventure', 'Shooter']",3.9,12K,405,3.3K,3.2K,2.2K,1.1K
44,Outer Wilds,"May 28, 2019","['Mobius Digital', 'Annapurna Interactive']","Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Indie', 'Puzzle', 'Simulator']",4.6,9.1K,736,5.7K,3.6K,2K,1.1K
45,Fallout: New Vegas,"Oct 19, 2010","['Bethesda Softworks', 'Obsidian Entertainment']","In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['RPG', 'Shooter']",4.3,18K,878,6K,1.6K,2.3K,1.2K
46,Super Mario Galaxy,"Nov 01, 2007","['Nintendo', 'Nintendo EAD']","A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside.",['Wii'],"['Adventure', 'Platform']",4.3,24K,546,3.6K,1.3K,3.1K,1.2K
47,Doom,"May 12, 2016","['Bethesda Softworks', 'id Software']","Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.","['Windows PC', 'PlayStation 4', 'Xbox One']","['Puzzle', 'Shooter']",4,21K,608,4.7K,1.6K,2K,1.2K
48,Stardew Valley,"Feb 26, 2016","['ConcernedApe', 'Chucklefish Games']","Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!","['Windows PC', 'Android', 'Mac', 'Linux', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch']","['Indie', 'RPG', 'Simulator', 'Strategy']",4.1,24K,2.3K,4.2K,1.3K,2K,1.4K
49,Silent Hill 2,"Sep 24, 2001","['Konami', 'Team Silent']","The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past.",['PlayStation 2'],"['Adventure', 'Puzzle']",4.5,9.9K,342,3.4K,2.4K,2.6K,841
50,The Last of Us Part II,"Jun 19, 2020","['Naughty Dog', 'Sony Interactive Entertainment']","The Last of Us Part II is an action-adventure game set five years after the events of The Last of Us. The player traverses post-apocalyptic environments such as buildings and forests to advance the story. He can use firearms, improvised weapons, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. The game intermittently switches control between Ellie and Abby, and also briefly Joel in the opening sequence. The nimble nature of the player character introduces platforming elements, allowing the player to jump and climb to traverse environments and gain advantages during combat.",['PlayStation 4'],"['Adventure', 'Shooter']",4.1,15K,551,3.3K,2.9K,2.9K,1.5K
51,The Witcher 3: Wild Hunt,"May 19, 2015","['CD Projekt RED', 'Spike ChunSoft']","RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'RPG']",4.3,19K,1.3K,7.1K,1.8K,2.3K,944
52,Resident Evil 4,"Jan 11, 2005","['Capcom Production Studio 4', 'Capcom']","Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner Leon. Enemies are now humans, which allows them to climb up ladders, open doors, and use weapons throughout the game. Resident Evil 4 had one of the most tormented developments in any game, four proposed versions of the game were discarded by the developers before the finished product was released.",['Nintendo GameCube'],['Shooter'],4.3,15K,411,3.2K,1.3K,2.7K,880
53,Doom Eternal,"Mar 19, 2020","['id Software', 'Bethesda Softworks']",Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Google Stadia', 'Xbox Series']",['Shooter'],4.2,14K,819,5.5K,2.8K,2.2K,1.2K
